QR_code,QC,QC_code,ID,Name_x,R,Date,Wave,Name_y,Country,Box_No,Position_Row_No,wave,timepoint,date_scanned,device,path
1PA83BIF08,,,6909,Col-0,1,8.3.2023,1,Col_0,USA,3,F5,1,20,8/23/2023,FastScanner,Images\W1\Day_20_8-23-23_FastScanner\1PA83BIF08
2FUNU8KDYA,,,6909,Col-0,2,8.3.2023,1,Col_0,USA,3,F5,1,20,8/23/2023,FastScanner,Images\W1\Day_20_8-23-23_FastScanner\2FUNU8KDYA
5KLTC1875J,,,6909,Col-0,3,8.3.2023,1,Col_0,USA,3,F5,1,20,8/23/2023,SlowScanner,Images\W1\Day_20_8-23-23_SlowScanner\5KLTC1875J
7FBG5FBD33,,,6909,Col-0,4,8.3.2023,1,Col_0,USA,3,F5,1,20,8/23/2023,FastScanner,Images\W1\Day_20_8-23-23_FastScanner\7FBG5FBD33
AG9PQYFX84,,,6909,Col-0,5,8.3.2023,1,Col_0,USA,3,F5,1,20,8/23/2023,SlowScanner,Images\W1\Day_20_8-23-23_SlowScanner\AG9PQYFX84
AK9E4VGBKN,,,6909,Col-0,6,8.3.2023,1,Col_0,USA,3,F5,1,20,8/23/2023,SlowScanner,Images\W1\Day_20_8-23-23_SlowScanner\AK9E4VGBKN
F5R5I3RGWU,,,6909,Col-0,7,8.3.2023,1,Col_0,USA,3,F5,1,20,8/23/2023,FastScanner,Images\W1\Day_20_8-23-23_FastScanner\F5R5I3RGWU
FU81ZMANZL,,,6909,Col-0,8,8.3.2023,1,Col_0,USA,3,F5,1,20,8/23/2023,SlowScanner,Images\W1\Day_20_8-23-23_SlowScanner\FU81ZMANZL
IZ5P35T21J,,,6909,Col-0,9,8.3.2023,1,Col_0,USA,3,F5,1,20,8/23/2023,SlowScanner,Images\W1\Day_20_8-23-23_SlowScanner\IZ5P35T21J
KL781U5LY3,,,6909,Col-0,10,8.3.2023,1,Col_0,USA,3,F5,1,20,8/23/2023,SlowScanner,Images\W1\Day_20_8-23-23_SlowScanner\KL781U5LY3
N284BGYJRR,,,6909,Col-0,11,8.3.2023,1,Col_0,USA,3,F5,1,20,8/23/2023,FastScanner,Images\W1\Day_20_8-23-23_FastScanner\N284BGYJRR
NZ5INZ8ZH3,,,6909,Col-0,12,8.3.2023,1,Col_0,USA,3,F5,1,20,8/23/2023,FastScanner,Images\W1\Day_20_8-23-23_FastScanner\NZ5INZ8ZH3
2MLE9SERAW,,,9821,IP-Aru-0,1,8.3.2023,1,IP_Aru_0,ESP,7,F4,1,20,8/23/2023,SlowScanner,Images\W1\Day_20_8-23-23_SlowScanner\2MLE9SERAW
85FNS872HC,,,9821,IP-Aru-0,2,8.3.2023,1,IP_Aru_0,ESP,7,F4,1,20,8/23/2023,SlowScanner,Images\W1\Day_20_8-23-23_SlowScanner\85FNS872HC
9N9IR2O2IU,,,9821,IP-Aru-0,3,8.3.2023,1,IP_Aru_0,ESP,7,F4,1,20,8/23/2023,SlowScanner,Images\W1\Day_20_8-23-23_SlowScanner\9N9IR2O2IU
BUY3SV9AGF,,,9821,IP-Aru-0,4,8.3.2023,1,IP_Aru_0,ESP,7,F4,1,20,8/23/2023,FastScanner,Images\W1\Day_20_8-23-23_FastScanner\BUY3SV9AGF
EOVJ7WQ5AE,,,9821,IP-Aru-0,5,8.3.2023,1,IP_Aru_0,ESP,7,F4,1,20,8/23/2023,FastScanner,Images\W1\Day_20_8-23-23_FastScanner\EOVJ7WQ5AE
HBBJTGDMHJ,,,9821,IP-Aru-0,6,8.3.2023,1,IP_Aru_0,ESP,7,F4,1,20,8/23/2023,SlowScanner,Images\W1\Day_20_8-23-23_SlowScanner\HBBJTGDMHJ
HZPM53473L,,,9821,IP-Aru-0,7,8.3.2023,1,IP_Aru_0,ESP,7,F4,1,20,8/23/2023,SlowScanner,Images\W1\Day_20_8-23-23_SlowScanner\HZPM53473L
M0KIY2SA02,,,9821,IP-Aru-0,8,8.3.2023,1,IP_Aru_0,ESP,7,F4,1,20,8/23/2023,FastScanner,Images\W1\Day_20_8-23-23_FastScanner\M0KIY2SA02
P4GDMLRS5L,,,9821,IP-Aru-0,9,8.3.2023,1,IP_Aru_0,ESP,7,F4,1,20,8/23/2023,FastScanner,Images\W1\Day_20_8-23-23_FastScanner\P4GDMLRS5L
Q1GAKZP075,,,9821,IP-Aru-0,10,8.3.2023,1,IP_Aru_0,ESP,7,F4,1,20,8/23/2023,SlowScanner,Images\W1\Day_20_8-23-23_SlowScanner\Q1GAKZP075
TIHI2R0YJA,,,9821,IP-Aru-0,11,8.3.2023,1,IP_Aru_0,ESP,7,F4,1,20,8/23/2023,SlowScanner,Images\W1\Day_20_8-23-23_SlowScanner\TIHI2R0YJA
VBR31MNG80,,,9821,IP-Aru-0,12,8.3.2023,1,IP_Aru_0,ESP,7,F4,1,20,8/23/2023,SlowScanner,Images\W1\Day_20_8-23-23_SlowScanner\VBR31MNG80
38ETURP11E,,,9822,IP-Aul-0,1,8.3.2023,1,IP_Aul_0,ESP,7,G4,1,20,8/23/2023,FastScanner,Images\W1\Day_20_8-23-23_FastScanner\38ETURP11E
4VDT53XV7K,,,9822,IP-Aul-0,2,8.3.2023,1,IP_Aul_0,ESP,7,G4,1,20,8/23/2023,FastScanner,Images\W1\Day_20_8-23-23_FastScanner\4VDT53XV7K
8S60J02E12,,,9822,IP-Aul-0,3,8.3.2023,1,IP_Aul_0,ESP,7,G4,1,20,8/23/2023,FastScanner,Images\W1\Day_20_8-23-23_FastScanner\8S60J02E12
9DOL2E6NN3,,,9822,IP-Aul-0,4,8.3.2023,1,IP_Aul_0,ESP,7,G4,1,20,8/23/2023,FastScanner,Images\W1\Day_20_8-23-23_FastScanner\9DOL2E6NN3
9FDI093Y6G,,,9822,IP-Aul-0,5,8.3.2023,1,IP_Aul_0,ESP,7,G4,1,20,8/23/2023,SlowScanner,Images\W1\Day_20_8-23-23_SlowScanner\9FDI093Y6G
9W07YOSFHH,,,9822,IP-Aul-0,6,8.3.2023,1,IP_Aul_0,ESP,7,G4,1,20,8/23/2023,FastScanner,Images\W1\Day_20_8-23-23_FastScanner\9W07YOSFHH
A4A1XU4L1G,,,9822,IP-Aul-0,7,8.3.2023,1,IP_Aul_0,ESP,7,G4,1,20,8/23/2023,FastScanner,Images\W1\Day_20_8-23-23_FastScanner\A4A1XU4L1G
C13YFTFEUI,,,9822,IP-Aul-0,8,8.3.2023,1,IP_Aul_0,ESP,7,G4,1,20,8/23/2023,FastScanner,Images\W1\Day_20_8-23-23_FastScanner\C13YFTFEUI
DM4KBKOFID,,,9822,IP-Aul-0,9,8.3.2023,1,IP_Aul_0,ESP,7,G4,1,20,8/23/2023,FastScanner,Images\W1\Day_20_8-23-23_FastScanner\DM4KBKOFID
L82U130EG5,,,9822,IP-Aul-0,10,8.3.2023,1,IP_Aul_0,ESP,7,G4,1,20,8/23/2023,SlowScanner,Images\W1\Day_20_8-23-23_SlowScanner\L82U130EG5
LEYZ2VGEAC,,,9822,IP-Aul-0,11,8.3.2023,1,IP_Aul_0,ESP,7,G4,1,20,8/23/2023,FastScanner,Images\W1\Day_20_8-23-23_FastScanner\LEYZ2VGEAC
TY2V5BSH8R,,,9822,IP-Aul-0,12,8.3.2023,1,IP_Aul_0,ESP,7,G4,1,20,8/23/2023,FastScanner,Images\W1\Day_20_8-23-23_FastScanner\TY2V5BSH8R
1H4QWPERVI,,,9825,IP-Boa-0,1,8.3.2023,1,IP_Boa_0,ESP,7,B5,1,20,8/23/2023,FastScanner,Images\W1\Day_20_8-23-23_FastScanner\1H4QWPERVI
56WMOS1TW0,,,9825,IP-Boa-0,2,8.3.2023,1,IP_Boa_0,ESP,7,B5,1,20,8/23/2023,SlowScanner,Images\W1\Day_20_8-23-23_SlowScanner\56WMOS1TW0
5CH8EZWXLG,,,9825,IP-Boa-0,3,8.3.2023,1,IP_Boa_0,ESP,7,B5,1,20,8/23/2023,FastScanner,Images\W1\Day_20_8-23-23_FastScanner\5CH8EZWXLG
5MD79BO3IR,,,9825,IP-Boa-0,4,8.3.2023,1,IP_Boa_0,ESP,7,B5,1,20,8/23/2023,SlowScanner,Images\W1\Day_20_8-23-23_SlowScanner\5MD79BO3IR
F2S2BPEOB8,,,9825,IP-Boa-0,5,8.3.2023,1,IP_Boa_0,ESP,7,B5,1,20,8/23/2023,SlowScanner,Images\W1\Day_20_8-23-23_SlowScanner\F2S2BPEOB8
GX8XCH0GZ1,,,9825,IP-Boa-0,6,8.3.2023,1,IP_Boa_0,ESP,7,B5,1,20,8/23/2023,SlowScanner,Images\W1\Day_20_8-23-23_SlowScanner\GX8XCH0GZ1
IHLOAKPFLJ,,,9825,IP-Boa-0,7,8.3.2023,1,IP_Boa_0,ESP,7,B5,1,20,8/23/2023,FastScanner,Images\W1\Day_20_8-23-23_FastScanner\IHLOAKPFLJ
IO4H0HM874,,,9825,IP-Boa-0,8,8.3.2023,1,IP_Boa_0,ESP,7,B5,1,20,8/23/2023,FastScanner,Images\W1\Day_20_8-23-23_FastScanner\IO4H0HM874
J9RI12AXB9,,,9825,IP-Boa-0,9,8.3.2023,1,IP_Boa_0,ESP,7,B5,1,20,8/23/2023,FastScanner,Images\W1\Day_20_8-23-23_FastScanner\J9RI12AXB9
KK8K5R2SOH,,,9825,IP-Boa-0,10,8.3.2023,1,IP_Boa_0,ESP,7,B5,1,20,8/23/2023,FastScanner,Images\W1\Day_20_8-23-23_FastScanner\KK8K5R2SOH
KXFBZ7QYKF,,,9825,IP-Boa-0,11,8.3.2023,1,IP_Boa_0,ESP,7,B5,1,20,8/23/2023,SlowScanner,Images\W1\Day_20_8-23-23_SlowScanner\KXFBZ7QYKF
MOQ252TRDJ,,,9825,IP-Boa-0,12,8.3.2023,1,IP_Boa_0,ESP,7,B5,1,20,8/23/2023,FastScanner,Images\W1\Day_20_8-23-23_FastScanner\MOQ252TRDJ
600BBH1GVM,,,9827,IP-Bos-0,1,8.3.2023,1,IP_Bos_0,ESP,7,D5,1,20,8/23/2023,FastScanner,Images\W1\Day_20_8-23-23_FastScanner\600BBH1GVM
CQM3TQCY6D,,,9827,IP-Bos-0,2,8.3.2023,1,IP_Bos_0,ESP,7,D5,1,20,8/23/2023,SlowScanner,Images\W1\Day_20_8-23-23_SlowScanner\CQM3TQCY6D
ITGOZFOFD7,,,9827,IP-Bos-0,3,8.3.2023,1,IP_Bos_0,ESP,7,D5,1,20,8/23/2023,FastScanner,Images\W1\Day_20_8-23-23_FastScanner\ITGOZFOFD7
MAKPLLUPGS,,,9827,IP-Bos-0,4,8.3.2023,1,IP_Bos_0,ESP,7,D5,1,20,8/23/2023,SlowScanner,Images\W1\Day_20_8-23-23_SlowScanner\MAKPLLUPGS
OHETXZ41ZD,,,9827,IP-Bos-0,5,8.3.2023,1,IP_Bos_0,ESP,7,D5,1,20,8/23/2023,FastScanner,Images\W1\Day_20_8-23-23_FastScanner\OHETXZ41ZD
OMLQGWI7K4,,,9827,IP-Bos-0,6,8.3.2023,1,IP_Bos_0,ESP,7,D5,1,20,8/23/2023,FastScanner,Images\W1\Day_20_8-23-23_FastScanner\OMLQGWI7K4
OYRKCOSYP0,,,9827,IP-Bos-0,7,8.3.2023,1,IP_Bos_0,ESP,7,D5,1,20,8/23/2023,FastScanner,Images\W1\Day_20_8-23-23_FastScanner\OYRKCOSYP0
QORSH7RA4R,,,9827,IP-Bos-0,8,8.3.2023,1,IP_Bos_0,ESP,7,D5,1,20,8/23/2023,FastScanner,Images\W1\Day_20_8-23-23_FastScanner\QORSH7RA4R
